ParkCode,LocationType,StationID,month,variable,mean,sd,N,SE,inc.10.4yr,inc.20.4yr,inc.50.4yr,inc.10.8yr,inc.20.8yr,inc.50.8yr,inc.10.12yr,inc.20.12yr,inc.50.12yr
ACAD,Lake,ACBOWL,4,Ca_ueqL,61.28977778,8.133575753,18,1.91710219,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBOWL,10,Ca_ueqL,52.50031579,11.91106238,38,1.932229467,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBOWL,4,Cl_ueqL,197.6866667,24.19496496,18,5.702807931,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBOWL,10,Cl_ueqL,169.8131579,21.69847324,38,3.519957166,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBOWL,4,COND,36.77777778,3.007354819,18,0.708840329,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBOWL,10,COND,33.38736842,2.931985476,38,0.475630851,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBOWL,4,DO (%),97.28571429,2.374498212,14,0.634611341,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBOWL,10,DO (%),95.55,2.178487193,32,0.385105767,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBOWL,4,DO_mg.L,10.84857143,0.408992329,14,0.109307798,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBOWL,10,DO_mg.L,10.908125,0.520498753,32,0.092012049,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBOWL,4,DOC_mgL,1.926666667,0.207959272,18,0.04901647,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBOWL,10,DOC_mgL,3.097894737,0.285876158,38,0.046375237,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBOWL,4,eqPH,6.737777778,0.226366583,18,0.053355115,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBOWL,10,eqPH,6.715052632,0.144134499,38,0.023381703,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBOWL,4,FPH,6.253333333,0.215788568,18,0.050861853,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBOWL,10,FPH,6.275631579,0.221499365,38,0.035931942,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBOWL,4,K_ueqL,5.862722222,0.892973685,18,0.210475916,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBOWL,10,K_ueqL,6.374180985,0.653017139,38,0.105933368,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBOWL,4,Mg_ueqL,45.69942222,4.052232352,18,0.955120325,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBOWL,10,Mg_ueqL,40.80276767,4.934580217,38,0.800494615,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBOWL,4,Na_ueqL,203.6388889,31.89516327,18,7.517762078,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBOWL,10,Na_ueqL,193.9873684,14.47750365,38,2.348561216,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBOWL,4,pH,6.498571429,0.09404231,14,0.025133865,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBOWL,10,pH,6.319375,0.244381213,32,0.043200903,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBOWL,4,SO4_ueqL,55.27222222,4.910200134,18,1.157345271,1,1,1,1,1,1,1,1,1
ACAD,Lake,ACBOWL,10,SO4_ueqL,52.84736842,5.804412899,38,0.941600109,1,1,1,1,1,1,1,1,1
